date,value,rel_equity,momentum,mean_rev,carry,target
2007-01-01,0.0,0.0005879359476122954,-0.0002943830272961713,-0.00043049439873233726,5.36745384666875e-05,0.0001762977735856839
2007-01-02,0.0,-0.0013484664294785569,0.006614317996553015,-0.0020204776144450215,0.0010328388185247535,0.0007834770275191804
2007-01-03,0.0,0.00013570333898112056,-0.003890375228546461,-0.003723853062152075,0.005495895501246749,-0.000723793710116844
2007-01-04,0.0,-0.003041355792860429,-0.0029730809022462824,0.0034093113837742883,-0.0029392971471382525,-0.0018111584975934283
2007-01-05,0.0,0.00025944500784665114,-0.008661639265466797,0.0093912433856285,-0.00744655770641888,-0.001628549849954699
2007-01-08,0.0,-0.0006322836796778118,0.001019980227737611,-0.0017932617746520905,0.0015181187556865144,-4.8917426323602525e-05
2007-01-09,0.0,-0.0003367671079355046,0.0016593798497421726,-0.002948594236894778,0.0038832615980401303,0.0001971691267742327
2007-01-10,0.0,-0.0020626746543748868,-0.004714119220559214,0.0006281597406453216,0.002852544791026224,-0.0017678937058617976
2007-01-11,0.0,-0.0037239282728443145,0.0022600241531787967,-0.0033609253650115378,0.009373234284320622,-0.0010375664785019665
2007-01-12,0.0,0.002095759926608341,-0.00020679889225767856,0.0015952056330377086,-0.00026027658667021874,0.0007969441921918007
2007-01-15,0.0,0.0005877505766278941,0.0018479929119430633,-0.0028783809999109555,0.0022370001357831155,0.0006046988130397704
2007-01-16,0.0,-0.0011547727050514299,0.002758753561679789,-0.001468811318864688,0.00016382225666760898,8.984163031538589e-05
2007-01-17,0.0,-0.0028066690986105944,0.0002505313682629986,0.0023132518321582777,0.00063675360649011,-0.001072561365791638
2007-01-18,0.0,-0.002330034535844142,0.0016314977485387269,-0.0027110438213718184,0.005109589123026905,-0.0006057142646299114
2007-01-19,0.0,0.001149037484763193,0.0003326897615996576,-5.0566392447314924e-05,0.0002514498048129164,0.0005261529462252088
2007-01-22,0.0,-0.0014501207076771665,0.003007386342310383,-0.0038132706016981775,0.0029556243226138636,2.142898539121002e-05
2007-01-23,0.0,1.2118294562807504e-05,0.006963871792614726,-0.0011512027211269763,-0.001777523019232836,0.0013976216763480684
2007-01-24,0.0,0.006356270414560354,-0.0036710264540651787,0.0013846796190069644,-0.007197143701835424,0.0018083028750111056
2007-01-25,0.0,0.002942658001880605,6.91976109641643e-05,-0.0004153420681324853,-0.002186210555783072,0.0011909027229450749
2007-01-26,0.0,0.00013033407669691484,-0.0028580012331412825,0.0001472009852773906,0.0017694884237956995,-0.0005194666159494906
2007-01-29,0.0,0.0017896395705465514,0.004810237237791903,-0.001479734926144256,-0.0024467103595545887,0.0016779032757770012
2007-01-30,0.0,-0.0015937889951617556,-0.000865991831712572,0.005334190980761551,-0.003901829397648264,-0.0008107139644072168
2007-01-31,0.0,-8.489026229573928e-05,-0.0009291192526483941,0.004179040077900598,-0.005307350963665825,-0.00021977995544797456
2007-02-01,0.0,-0.0010897914708228311,-0.0012534208907365428,0.005396893027278185,-0.004066806706041396,-0.000686600766476441
