date,AUDUSD,EURUSD,GBPUSD,NZDUSD,CADUSD,CHFUSD,JPYUSD,NOKUSD,SEKUSD
2007-01-01,-8.923949543541987e-05,0.0006160755460536651,0.0010670155537458972,0.0012225364932158692,0.0005588056047694252,0.0006092160450904969,0.00022844301540630478,0.0027755372884539957,-0.00140405065112284
2007-01-02,0.010135822392615111,0.006731425302144742,0.007470083466314716,0.005606164649308672,-0.00106813724017574,0.00546499069157887,0.0015742148871136254,0.007255025002425029,0.009692722406589072
2007-01-03,-0.006641968278940483,-0.009745851175727497,-0.011983800136821106,-0.003449408808839411,-0.004574129849340683,-0.013482975596336969,-0.007236121224766666,-0.014836651104528215,-0.011079767505445478
2007-01-04,-0.005923022950310051,-0.00501794793749569,-0.0030353210611434173,-0.010307752028694845,-0.005403881609561439,-0.0032961624251133938,0.0027389345186209424,-0.008128544872690508,-0.011377989346038847
2007-01-05,-0.007880090923170144,-0.007193750463112559,-0.007594819314945385,-0.01825819421666231,0.0012357779870131927,-0.003690471670468188,0.0040938163559896806,-0.0068558315363257015,-0.0052774759224778825
2007-01-08,0.0015746801125372134,0.0017011379206456389,0.004236204433910419,0.00401848814517952,0.0005565691443056491,0.001004248984045334,0.001748058220470355,0.0015399920585731754,-0.002508254515779152
2007-01-09,-0.0014997297157118166,-0.0013727094371504475,0.0010274310879037885,0.001976684044464947,-0.0007180869322379527,-0.004247815681780856,-0.0055733942281848865,0.0005661373060425302,-0.004027999476501492
2007-01-10,-0.003944678520913078,-0.005539784631594603,-0.0034637247778279436,-0.0038314079296363074,-0.00046324637551175527,-0.005113357576387088,-0.0031219238445574,-0.0145364298258784,-0.006421910803013284
2007-01-11,0.005813437489991867,-0.002465698660212204,0.005986303487952388,0.006760315515562289,-0.00020864003262476813,-0.0010900645282545046,-0.007606482914984342,-0.005248735540521149,-0.004072120602176057
2007-01-12,0.0027219744132005296,0.00117251720962737,0.006359617755642331,-0.0012132097384779002,0.00635508480422098,-0.000614082269699288,0.00022656126552511775,0.004578135148293566,0.010172255262250882
